country,is_ws_multi,is_eq_multi,intl_ws_cat_limit_zone,intl_eq_cat_limit_zone
Afghanistan,False,False,3,2
Aland Islands,False,False,3,3
Albania,False,False,3,2
Algeria,False,False,3,3
American Samoa,False,False,2,2
Andorra,False,False,3,3
Angola,False,False,3,3
Anguilla,False,False,1,1
Antarctica,False,False,3,3
Antigua and Barbuda,False,False,1,1
Argentina,False,False,3,3
Armenia,False,False,3,1
Aruba,False,False,1,3
Australia,True,False,0,3
Austria,False,False,3,3
Azerbaijan,False,False,3,1
Bahamas,False,False,1,3
Bahrain,False,False,3,3
Bangladesh,False,False,2,1
Barbados,False,False,1,1
Belarus,False,False,3,3
Belgium,False,False,3,3
Belize,False,False,1,2
Benin,False,False,3,3
Bermuda,False,False,1,3
Bhutan,False,False,3,1
Bolivia,False,True,3,0
"Bonaire, Sint Eustatius, and Saba",False,False,1,1
Bosnia and Herzegovina,False,False,3,2
Botswana,False,False,3,3
Bouvet Island,False,False,3,3
Brazil,False,False,3,3
British Indian Ocean Territory,False,False,3,3
British Virgin Islands,False,False,1,1
Brunei Darussalam,False,False,3,3
Bulgaria,False,False,3,2
Burkina Faso,False,False,3,3
Burundi,False,False,3,3
Cambodia,False,False,3,3
Cameroon,False,False,3,3
Canada,False,True,3,0
Cape Verde,False,False,3,3
Cayman Islands,False,False,1,3
Cb,False,False,1,1
Central African Republic,False,False,3,3
Chad,False,False,3,3
Chile,False,False,3,1
China,True,False,0,3
Christmas Island,False,False,2,2
Cocos (Keeling) Islands,False,False,2,2
Colombia,False,True,3,0
Comoros,False,False,3,3
Congo (Brazzaville),False,False,3,3
Congo (Kinshasa),False,False,3,3
Cook Islands,False,False,1,2
Costa Rica,False,False,1,1
Côte d'Ivoire,False,False,3,3
Croatia,False,False,3,2
Cuba,False,False,1,2
Curaçao,False,False,1,3
Cyprus,False,False,3,2
Czech Republic,False,False,3,3
Denmark,False,False,3,3
Djibouti,False,False,3,3
Dominica,False,False,1,1
Dominican Republic,False,False,1,1
Ecuador,False,False,3,1
Egypt,False,False,3,3
El Salvador,False,False,2,1
Equatorial Guinea,False,False,3,3
Eritrea,False,False,3,3
Estonia,False,False,3,3
Ethiopia,False,False,3,3
Falkland Islands (Malvinas),False,False,3,3
Faroe Islands,False,False,3,3
Fiji,False,False,1,1
Finland,False,False,3,3
France,False,False,3,3
French Guiana,False,False,3,3
French Polynesia,False,False,1,3
French Southern Territories,False,False,3,3
Gabon,False,False,3,3
Gambia,False,False,3,3
Georgia,False,False,3,1
Germany,False,False,3,3
Ghana,False,False,3,3
Gibraltar,False,False,3,3
Greece,False,False,3,2
Greenland,False,False,3,3
Grenada,False,False,1,1
Guadeloupe,False,False,1,1
Guam,False,False,1,1
Guatemala,False,False,2,1
Guernsey,False,False,3,3
Guinea,False,False,3,3
Guinea-Bissau,False,False,3,3
Guyana,False,False,3,3
Haiti,False,False,1,1
Heard and Mcdonald Islands,False,False,3,3
Holy See (Vatican City State),False,False,3,1
Honduras,False,True,1,0
"Hong Kong, SAR China",False,False,2,3
Hungary,False,False,3,3
Iceland,False,False,3,3
India,True,True,0,0
Indonesia,False,True,3,0
"Iran, Islamic Republic of",False,False,3,3
Iraq,False,False,3,2
Ireland,False,False,3,3
Isle of Man,False,False,3,3
Israel,False,False,3,2
Italy,False,False,3,2
Jamaica,False,False,1,1
Japan,False,False,1,1
Jersey,False,False,3,3
Jordan,False,False,3,2
Kazakhstan,False,False,3,3
Kenya,False,False,3,3
Kiribati,False,False,1,2
Korea (North),False,False,3,3
Korea (South),False,False,2,3
Kosovo,False,False,3,2
Kuwait,False,False,3,3
Kyrgyzstan,False,False,3,1
Lao PDR,False,False,3,3
Latvia,False,False,3,3
Lebanon,False,False,3,2
Lesotho,False,False,3,3
Liberia,False,False,3,3
Libya,False,False,3,3
Liechtenstein,False,False,3,3
Lithuania,False,False,3,3
Luxembourg,False,False,3,3
"Macao, SAR China",False,False,2,3
"Macedonia, Republic of",False,False,3,2
Madagascar,False,False,2,3
Malawi,False,False,3,3
Malaysia,False,False,3,3
Maldives,False,False,3,3
Mali,False,False,3,3
Malta,False,False,3,3
Marshall Islands,False,False,2,3
Martinique,False,False,1,1
Mauritania,False,False,3,3
Mauritius,False,False,1,3
Mayotte,False,False,1,2
Mexico,True,True,0,0
"Micronesia, Federated States of",False,False,1,2
Moldova,False,False,3,2
Monaco,False,False,3,3
Mongolia,False,False,3,3
Montenegro,False,False,3,2
Montserrat,False,False,3,1
Morocco,False,False,3,3
Mozambique,False,False,2,3
Myanmar,False,False,3,2
Namibia,False,False,3,3
Nauru,False,False,3,2
Nepal,False,False,3,1
Netherlands,False,False,3,3
New Caledonia,False,False,1,3
New Zealand,False,False,3,1
Nicaragua,False,False,2,1
Niger,False,False,3,3
Nigeria,False,False,3,3
Niue,False,False,1,2
Norfolk Island,False,False,2,2
Northern Mariana Islands,False,False,1,2
Norway,False,False,3,3
Oman,False,False,3,3
Pakistan,False,False,3,2
Palau,False,False,1,2
Palestinian Territory,False,False,3,1
Panama,False,False,3,2
Papua New Guinea,False,False,3,1
Paraguay,False,False,3,3
Peru,False,False,3,1
Philippines,False,False,1,1
Pitcairn,False,False,1,2
Poland,False,False,3,3
Portugal,False,True,3,0
Puerto Rico,False,False,1,1
Qatar,False,False,3,3
Réunion,False,False,1,3
Romania,False,False,3,2
Russian Federation,False,False,3,3
Rwanda,False,False,3,3
Saint Helena,False,False,3,3
Saint Kitts and Nevis,False,False,1,1
Saint Lucia,False,False,1,1
Saint Pierre and Miquelon,False,False,3,3
Saint Vincent and Grenadines,False,False,1,1
Saint-Barthélemy,False,False,1,1
Saint-Martin (French part),False,False,1,1
Samoa,False,False,1,2
San Marino,False,False,3,2
Sao Tome and Principe,False,False,3,3
Saudi Arabia,False,False,3,3
Senegal,False,False,3,3
Serbia,False,False,3,2
Seychelles,False,False,3,3
Sierra Leone,False,False,3,3
Singapore,False,False,3,3
Sint Maarten,False,False,1,1
Slovakia,False,False,3,3
Slovenia,False,False,3,2
Solomon Islands,False,False,2,1
Somalia,False,False,3,3
South Africa,False,True,3,0
South Georgia and the South Sandwich Islands,False,False,3,3
South Sudan,False,False,3,3
Spain,False,False,3,3
Sri Lanka,False,False,2,3
Sudan,False,False,3,3
Suriname,False,False,3,3
Svalbard and Jan Mayen Islands,False,False,3,3
Swaziland,False,False,3,3
Sweden,False,False,3,3
Switzerland,False,False,3,3
Syria,False,False,3,1
"Taiwan, Republic Of China",False,False,1,1
Tajikistan,False,False,3,1
"Tanzania, United Republic of",False,False,3,3
Thailand,False,False,1,3
Timor-Leste,False,False,3,2
Togo,False,False,3,3
Tokelau,False,False,3,3
Tonga,False,False,1,2
Trinidad and Tobago,False,False,1,1
Tunisia,False,False,3,3
Turkey,False,False,3,1
Turkmenistan,False,False,3,3
Turks and Caicos Islands,False,False,1,1
Tuvalu,False,False,3,3
Uganda,False,False,3,3
Ukraine,False,False,3,3
United Arab Emirates,False,False,3,3
United Kingdom,False,False,3,3
United States,True,True,0,0
Uruguay,False,False,3,3
US Minor Outlying Islands,False,False,3,3
Uzbekistan,False,False,3,3
Vanuatu,False,False,1,3
Venezuela (Bolivarian Republic),False,True,3,0
Vietnam,False,False,2,3
"Virgin Islands, US",False,False,1,2
Wallis and Futuna Islands,False,False,3,3
Western Sahara,False,False,3,3
Yemen,False,False,3,3
Zambia,False,False,3,3
Zimbabwe,False,False,3,3
